stage_id,stage_name,client_state,ai_goal,ai_imperatives,ai_taboo,buying_signals
1,STAGE №1: INITIAL CONTACT / AWARENESS,"Минимальный trust, минимальная вовлеченность, поверхностный интерес, skepticism possible, проверка legitimacy","НЕ продать. А: создать interest, создать trust, снизить resistance, удержать внимание, не перегрузить","[""быть легким"",""понятным"",""спокойным"",""не overly salesy""]","[""deep closing"",""aggressive persuasion"",""technical overload""]","[""'Расскажите подробнее'"",""'Что это вообще?'"",""'Как это работает?'"",""'Чем вы отличаетесь?'""]"
2,STAGE №2: CURIOSITY / EARLY INTEREST,"Клиент начинает вовлекаться. Появляются: вопросы, curiosity, первые buying signals","Усилить interest, показать value, выявить pain points, начать qualification","[""задавать вопросы"",""исследовать процесс клиента"",""выявлять проблемы""]","[""перегружать""]","[""'А это можно интегрировать?'"",""'Как это выглядит в реальности?'"",""'Какие кейсы были?'""]"
3,STAGE №3: DISCOVERY / QUALIFICATION,AI уже исследует бизнес клиента.,"Понять: pain points, bottlenecks, current process, decision structure, urgency, psychotype","[""больше спрашивать"",""глубже анализировать"",""строить understanding""]","[""prematurely close""]","[""клиент описывает процессы"",""делится проблемами"",""рассказывает структуру команды"",""обсуждает текущие ограничения""]"
4,STAGE №4: VALUE RECOGNITION,"Клиент начинает видеть value. Появляются: emotional engagement, operational interest, ROI thinking","Усилить clarity, усилить perceived value, показать impact, перевести в practical vision","[""показывать predictability"",""operational improvements"",""scaling"",""reduction of chaos""]",[],"[""'Это могло бы решить...'"",""'У нас как раз здесь проблема.'"",""'Это интересно.'""]"
5,STAGE №5: OBJECTION / RESISTANCE STAGE,Появляется: страх / uncertainty / resistance. Возражение часто означает рост интереса.,"НЕ спорить. А: снизить uncertainty, понять скрытый страх, reframe perception, удержать trust","[""быть спокойным"",""быть не defensive""]","[""спорить""]","[""'Это дорого.'"",""'Мы уже пробовали.'"",""'Сложно внедрять.'"",""'У нас есть команда.'""]"
6,STAGE №6: EVALUATION / INTERNAL CONSIDERATION,Клиент серьезно рассматривает решение. Часто обсуждает внутри компании.,"Снизить friction, помочь internal selling, усилить certainty, помочь decision-making","[""давать clarity"",""structure"",""ROI framing"",""implementation confidence""]",[],"[""'Нужно обсудить.'"",""'Кто занимается внедрением?'"",""'Сколько времени занимает?'"",""'Как это интегрируется?'""]"
7,STAGE №7: BUYING READINESS,Клиент почти готов. Главная ошибка AI: продолжать продавать.,"НЕ убеждать. А: убрать friction, упростить next step, удержать momentum, не создать pressure spike","[""переключиться из persuasion в onboarding guidance""]","[""продолжать продавать""]","[""'Какие следующие шаги?'"",""'Когда можно стартовать?'"",""'Что нужно от нас?'"",""'Как проходит запуск?'""]"
8,STAGE №8: HESITATION / DELAY,"Клиент замедлился. Причины: uncertainty, overload, fear, internal politics, timing issues","Восстановить clarity, снизить pressure, вернуть momentum, понять root cause hesitation","[""восстановить clarity"",""снизить pressure"",""вернуть momentum"",""понять root cause hesitation""]","[""пушить aggressively""]","[""delay"",""короткие ответы"",""'мы думаем'"",""'вернемся позже'""]"
9,STAGE №9: RECOVERY STAGE,"Диалог частично потерян. AI спокойный, без desperation.","Восстановить: trust, engagement, relevance","[""быть спокойным"",""без desperation""]","[""пытаться hard close""]","[""long silence"",""ignored messages"",""disengagement""]"
10,STAGE №10: ONBOARDING TRANSITION,Сделка фактически принята.,Перевести из sales experience в implementation confidence,"[""создавать predictability"",""calmness"",""clarity"",""operational trust""]","[""резко менять tone""]",[]