rule_id,rule_name,type_or_priority,rule_definition,examples_or_details
1,MEMORY НЕ ДОЛЖНА БЫТЬ ПРОСТО ЛОГОМ,Core Concept,"Память — это структурированная интерпретация, а не просто запись лога переписки.","[""НЕ: 'клиент написал X'"",""А: 'клиент боится Y'""]"
2,MEMORY ДОЛЖНА ОБНОВЛЯТЬСЯ ДИНАМИЧЕСКИ,Dynamic Loop,"AI должен не просто пассивно хранить данные, а непрерывно пересчитывать и обновлять perception (восприятие) клиента.","[""Был skeptical -> стал curious"",""Был defensive -> начал trust conversation""]"
3,MEMORY НЕ ДОЛЖНА ПЕРЕГРУЖАТЬ AI,Optimization,"В памяти категорически нельзя хранить всё подряд, чтобы избежать накопления шума (noise accumulation).","[""Нужно хранить ТОЛЬКО: impactful patterns, conversion-critical information, emotional signals, strategic context""]"
4,MEMORY ДОЛЖНА ВЛИЯТЬ НА ПОВЕДЕНИЕ AI,Behavior Link,"Если память не меняет поведение системы в реальном времени, она абсолютно бесполезна.","[""Memory должна менять: tone, pacing, pressure, objections, persuasion logic, closing style""]"
5,"AI ДОЛЖЕН ОЩУЩАТЬСЯ КАК СИСТЕМА, КОТОРАЯ ПОНИМАЕТ КЛИЕНТА",Perception Focus,"Собеседник должен чувствовать, что его понимают на глубинном уровне, а не то, что робот просто цитирует старые сообщения.","[""Понимание контекста"",""Понимание динамики"",""Понимание психологии"",""Понимание trajectory сделки""]"
6,MEMORY ДОЛЖНА БЫТЬ ПРИОРИТЕЗИРОВАНА,Priority Logic,Не вся входящая информация имеет одинаковую ценность для конверсии.,"[""Highest priority: trust patterns, emotional triggers, buying signals, resistance patterns, psychotype indicators"",""Lowest priority: мелкие детали, noise, случайные сообщения""]"
7,MEMORY НЕ ДОЛЖНА ДЕЛАТЬ AI СТАЛКЕРОМ,Safety & Tonality,"Критически важно: AI не должен слишком явно демонстрировать клиенту, что он 'помнит всё', чтобы не вызвать uncanny feeling (эффект зловещей долины).","[""Использовать memory нужно максимально естественно и ненавязчиво""]"
8,"MEMORY ДОЛЖНА УЛУЧШАТЬ CLARITY, А НЕ УСЛОЖНЯТЬ СИСТЕМУ",Architecture Rule,"Плохая архитектура памяти ведет к накоплению информационного мусора, хорошая — к точечным точным решениям.","[""Плохая memory = noise accumulation"",""Хорошая memory = better decision-making""]"
9,MEMORY ДОЛЖНА ПОМОГАТЬ ПРЕДСКАЗЫВАТЬ ПОВЕДЕНИЕ,Predictive Intelligence,"Elite-level AI не просто реагирует на реплики по факту, он работает на опережение (anticipates).","[""Предсказание будущих возражений (future objections)"",""Предсказание колебаний (hesitation)"",""Предсказание всплесков сопротивления (resistance spikes)"",""Предсказание готовности к покупке (buying readiness)""]"
10,MEMORY ДОЛЖНА СОЗДАВАТЬ ОЩУЩЕНИЕ CONTINUITY,Experience Continuity,Каждое новое касание должно ощущаться клиентом как бесшовное продолжение единого сквозного процесса.,"[""Клиент должен чувствовать НЕ 'новый разговор', а то, что система полностью понимает контекст и развитие процесса.""]"