id,created_at,objection_title,category,real_reasons,detection_signals,taboo_actions,processing_goal,response_patterns,follow_up_logic
1,2026-05-21 16:17:13.724111+00,ДОРОГО,Цена / ценность,"[""Не понял ценность"",""Не видит ROI (Как это вернет деньги?)"",""Сравнивает с дешевыми решениями (боты, amo integrations, фрилансеры, no-code)"",""Боится ошибиться (риск)"",""Нет срочности (проблема пока не болит)"",""Хочет сбить цену (negotiation test)""]","[""Почему так дорого? → не понял ценность"",""Мы видели дешевле → сравнение рынка"",""Надо подумать после цены → fear/risk"",""Сейчас не готовы → либо денег нет либо нет боли""]","[""Оправдывать цену (Ну у нас много функций...)"",""Давить (Но вы теряете деньги!)"",""Сразу давать скидку (это убивает perceived value)"",""Начинать перечислять функции (Функции ≠ ценность)""]","Сместить фокус с цены на потери, показать ROI, снизить риск, усилить статус решения","{""pattern_1"":""Скорее вопрос в бюджете сейчас или пока не до конца понятен масштаб результата?"",""pattern_2"":""Обычно дорого — это когда решение не окупается. Здесь вопрос скорее в том, сколько денег сейчас теряется внутри обработки клиентов."",""pattern_3"":""Если сравнивать с обычными AI-ботами — да, это другой уровень стоимости. Потому что AVERON AI не автоматизирует ответы. Он управляет самой логикой продажи."",""pattern_4"":""Самый дорогой сценарий — внедрить слабое решение, потерять время и снова вернуться к проблеме через несколько месяцев."",""pattern_5"":""Такие системы редко покупают ради «экономии». Обычно их внедряют, когда цена потери клиента становится выше цены инфраструктуры.""}","Если клиент замолчал после цены (Через время): «Мне кажется, тут вопрос даже не в стоимости. Скорее хочется понять, насколько это действительно даст результат именно под ваш процесс.» Если начинает торговаться: «Можно снизить стоимость. Вопрос только — какие именно элементы системы тогда убрать.» Очень сильный enterprise pattern."
2,2026-05-21 16:17:13.724111+00,МЫ УЖЕ ПРОБОВАЛИ AI,негативный опыт,"[""разочарование"",""недоверие"",""травма прошлого опыта"",""рынок перегрет мусором""]","[""Прямое упоминание прошлого неудачного опыта с ИИ или ботами""]","[""«Но мы другие» (Так говорят все)""]","Сначала СОГЛАСИТЬСЯ С РЕАЛЬНОСТЬЮ, выявить проблему прошлого подрядчика и отстроиться через логику ведения клиента","{""pattern_1"":""Это сейчас очень частая история. Рынок переполнен решениями, которые выглядят как AI, но по факту остаются обычными скриптами."",""pattern_2"":""А что именно не сработало в прошлый раз? (Ключевой вопрос)"",""pattern_3"":""Большинство систем автоматизируют сообщения. Но проблема продаж обычно не в отправке текста, а в самой логике ведения клиента.""}","Выяснить точную техническую причину прошлого сбоя и показать на схеме, как AVERON AI обходит это узкое место."
3,2026-05-21 16:17:13.724111+00,НАДО ПОДУМАТЬ,срочность,"[""страх решения"",""нет доверия"",""нет urgency"",""не понял ценность"",""нужен authority"",""avoidance""]","[""Уход от конкретики, затягивание времени""]","[""«Когда сможете дать ответ?» (Ужасный weak-sales pattern)""]","Снять давление, провести диагностику истинной причины и сменить фрейм восприятия риска","{""pattern_1"":""Конечно. Такие решения редко принимаются импульсивно. (Снимает давление)"",""pattern_2"":""Сейчас скорее хочется понять саму механику внедрения или есть сомнения по результату? (Диагностика причины)"",""pattern_3"":""Обычно ‘подумать’ возникает в двух ситуациях: либо решение пока не выглядит критично необходимым, либо есть ощущение риска. (Очень сильный фрейм)""}","Выявление скрытого фактора риска или лица, принимающего решение, без прямого давления."
4,2026-05-21 16:17:13.724111+00,У НАС УЖЕ ЕСТЬ ОТДЕЛ ПРОДАЖ,authority,"[""Клиент думает, что AI заменяет людей""]","[""Заявления о наличии укомплектованного штата менеджеров""]","[""Противопоставление ИИ человеческому отделу продаж""]","Сменить frame: НЕ «AI вместо людей», а «AI усиливает систему»","{""pattern_1"":""Наоборот. Сильные отделы продаж обычно быстрее всех внедряют AI, потому что он убирает потери внутри коммуникации."",""pattern_2"":""AVERON AI не заменяет sales team. Он делает так, чтобы каждый лид обрабатывался на одном сильном уровне.""}","Показать, как система страхует менеджеров в нерабочее время и на рутинных задачах фоллоу-апов."
5,2026-05-21 16:17:13.724111+00,МЫ ПОКА НЕ ГОТОВЫ,страх изменений,"[""нет боли"",""нет urgency"",""страх изменений"",""перегруз"",""не увидел ценность""]","[""Ссылки на неготовность, неподходящий момент""]","[""Агрессивное доказывание обратного и давление""]","Нормализовать состояние клиента, перевести фокус на масштабирование и оценку скрытых потерь","{""pattern_1"":""Это нормально. Обычно компании приходят к этому либо на этапе масштабирования, либо когда потери в обработке клиентов становятся уже слишком заметны."",""pattern_2"":""Вопрос скорее не в готовности к AI. А в том, насколько текущая система справляется с ростом.""}","Анализ динамики роста компании и фиксация точки, когда ручная обработка начнет сбоить."
6,2026-05-21 16:17:13.724111+00,МЫ ХОТИМ ПОСМОТРЕТЬ КЕЙСЫ,доверие,"[""недостаток доверия"",""попытка снизить риск"",""проверка экспертности"",""сравнение с конкурентами"",""клиент еще не увидел себя в результате""]","[""Запросы PDF, ссылок, скриншотов результатов""]","[""Сразу скидывать PDF, ссылки, скриншоты и терять контроль над диалогом"",""Перегружать кейсами (кидать 20 PDF)"",""Начинать хвастаться"",""Выдумывать цифры"",""Давить social proof’ом""]","Понять критерий доверия, привязать результат к боли клиента, заставить увидеть себя внутри результата","{""pattern_1"":""Кейсы важны. Но я бы сказал, что здесь важнее не сама цифра результата, а насколько система совпадает с вашей логикой продаж."",""pattern_2"":""Проблема большинства кейсов в том, что они показывают результат без контекста. Хотя в реальности ключевое — за счет чего именно он был получен."",""pattern_3"":""Сильные AI-системы обычно оценивают не по красивым цифрам, а по тому, насколько глубоко они интегрируются в саму механику бизнеса."",""question_1"":""Вам сейчас скорее интересно посмотреть результаты в похожей нише или понять саму механику внедрения?"",""question_2"":""Что для вас будет главным показателем сильного кейса?"",""question_3"":""Важнее рост конверсии, скорость обработки или снижение нагрузки на отдел продаж?""}","Если клиент посмотрел кейс и замолчал: «Какое ощущение после просмотра? Скорее откликается логика системы или пока есть ощущение, что это сложно применить под ваш процесс?»"
7,2026-05-21 16:17:13.724111+00,МЫ СРАВНИВАЕМ НЕСКОЛЬКО РЕШЕНИЙ,конкуренты,"[""клиент еще не понял разницу"",""решения выглядят одинаково"",""нет четкого positioning"",""клиент выбирает по цене""]","[""Упоминание тендера или анализа других ИИ-платформ""]","[""Поливать конкурентов"",""Говорить «Мы лучше»"",""Начинать feature-war (войну фич)""]",Увести сравнение из плоскости «функции vs функции» в плоскость «уровень системы vs уровень системы»,"{""pattern_1"":""Это правильно. Такие решения точно не стоит выбирать импульсивно. (Снимает сопротивление)"",""pattern_2"":""Я бы здесь смотрел не только на функционал. Большинство платформ сегодня умеют отправлять сообщения. Вопрос — насколько система реально умеет вести клиента к сделке."",""pattern_3"":""Разница обычно становится заметна не на демо, а в качестве самой коммуникации с клиентом. (Очень сильный frame)"",""pattern_4"":""На рынке сейчас много automation tools. Но систем, которые работают именно как AI sales infrastructure, — единицы.""}","Запрос критериев отбора: «Что сейчас для вас главный критерий выбора? Цена, гибкость, качество AI-коммуникации или возможность масштабирования?»"
8,2026-05-21 16:17:13.724111+00,МЫ МОЖЕМ НАНЯТЬ ЛЮДЕЙ ВМЕСТО AI,Цена / ценность,"[""не понял экономику"",""не доверяет AI"",""мыслит по старой модели"",""считает AI угрозой""]","[""Планы по расширению штата классических сотрудников или колл-центра""]","[""«AI лучше людей» (Очень плохой ход)""]","Показать ограничения людей, нестабильность human factor и безграничную масштабируемость AI","{""pattern_1"":""На самом деле сильные компании обычно используют и людей, и AI. Вопрос скорее в том, какие задачи должны зависеть от человеческого фактора, а какие — работать как стабильная система."",""pattern_2"":""Люди могут быть очень сильными продажниками. Но масштабирование всегда упирается в скорость, контроль, стабильность и стоимость роста команды."",""pattern_3"":""AVERON AI не заменяет лучших менеджеров. Он делает так, чтобы весь поток клиентов обрабатывался на одном сильном уровне."",""strong_frame"":""Проблема обычно не в найме людей. Проблема в том, что качество коммуникации начинает зависеть от конкретного человека.""}",Перевод на калькуляцию полной стоимости сотрудника против подписки на системную инфраструктуру.
9,2026-05-21 16:17:13.724111+00,AI ЗВУЧИТ НЕЕСТЕСТВЕННО,негативный опыт,"[""был плохой опыт"",""страх потерять brand voice"",""боится robotic communication"",""видел дешевые AI-боты""]","[""Жалобы на то то роботы тупые, искусственные, вызывают раздражение клиентов""]","[""Доказывать и спорить с пеной у рта""]","Признать проблему рынка, полностью отделить себя от примитивных «ботов» и показать уровень адаптации","{""pattern_1"":""Это правда. Большинство AI-коммуникаций сейчас действительно звучат искусственно. (Очень сильный ход. Сначала согласие)"",""pattern_2"":""Обычно проблема возникает, когда система работает по жесткому шаблону."",""pattern_3"":""Хороший AI ощущается не как бот. А как очень стабильный sales operator."",""pattern_4"":""AVERON AI адаптирует: тон, длину сообщений, стиль общения, pressure level под конкретного клиента.""}",Квалифицирующий вопрос: «Для вас здесь важнее естественность общения или именно результативность коммуникации?»
10,2026-05-21 16:17:13.724111+00,СЕЙЧАС НЕ ЛУЧШЕЕ ВРЕМЯ,срочность,"[""страх рынка"",""uncertainty"",""кассовый стресс"",""avoidance"",""нет urgency""]","[""Ссылки на кризис, сезонность, внутренние перестановки в компании""]","[""«Наоборот, сейчас надо действовать!» (Давление вызывает сопротивление)""]","Проявить эмпатию к осторожности бизнеса, развернуть фокус на влияние эффективности обработки на выживаемость выручки","{""pattern_1"":""Понимаю. В нестабильные периоды компании обычно особенно осторожны с новыми внедрениями."",""pattern_2"":""С другой стороны, именно в такие периоды эффективность обработки клиентов начинает сильнее влиять на выручку."",""pattern_3"":""Обычно рынок сильнее всего меняют компании, которые выстраивают инфраструктуру раньше остальных."",""high_level_frame"":""Во время роста все зарабатывают на рынке. Во время нестабильности начинают выигрывать системы.""}",Закрепление долгосрочного преимущества системного подхода в периоды рыночной турбулентности.
11,2026-05-21 16:17:13.724111+00,СКИНЬТЕ ПРОСТО ЦЕНУ,отсутствие понимания,"[""хочет быстро сравнить рынок"",""не понимает ценность"",""избегает разговора"",""пытается контролировать диалог"",""low-investment buyer"",""хочет shortcut""]","[""Требования назвать цифру здесь и сейчас без лишних вопросов""]","[""Сразу отправлять цену без контекста (тебя сравнят как commodity, AI превратится в еще один сервис, продажа умрет)"",""«А какой у вас бюджет?» (слишком рано)"",""Оправдывать стоимость"",""Уходить в длинные объяснения""]","Удержать контроль над диалогом, аккуратно добавить контекст ценности без ухода в оборонительную позицию","{""pattern_1"":""Могу сориентировать по диапазону. Но тут цена сильно зависит от того, AI будет просто обрабатывать сообщения или полноценно управлять воронкой продаж. (мягкий redirect)"",""pattern_2"":""AVERON AI обычно считают не как расход на софт, а как инфраструктуру обработки клиентов. (positioning)"",""pattern_3"":""Если сравнивать с обычными AI-ботами — это другой уровень задач и глубины системы. (anti-commodity)"",""pattern_4"":""Чтобы назвать адекватный диапазон, важно понять: объем лидов, сложность коммуникации, количество каналов, глубину интеграции. (qualification)""}","Если клиент продолжает давить: «Скажу честно — здесь можно сделать и очень дешево. Вопрос только в том, будет ли это реально решать задачу продаж, а не просто отправлять сообщения.»"
12,2026-05-21 16:17:13.724111+00,МЫ УЖЕ РАБОТАЕМ С CRM / АВТОМАТИЗАЦИЕЙ,перегрузка информацией,"[""не понимает разницу"",""считает AI очередной интеграцией"",""устал от инструментов"",""думает «у нас уже все настроено»""]","[""Заявления о полной автоматизации на базе Битрикс24/amoCRM""]","[""Обесценивать текущую CRM клиента"",""Говорить «CRM устарели»""]","Показать концептуальное разделение: CRM хранит историю, а ИИ управляет живой конверсией в моменте","{""pattern_1"":""CRM отлично решают вопрос хранения и управления данными. (Сначала agreement)"",""pattern_2"":""Но CRM сами по себе не ведут клиента к покупке."",""pattern_3"":""AVERON AI работает поверх инфраструктуры и управляет уже самой коммуникацией."",""pattern_4"":""Большинство компаний уже имеют CRM. Вопрос обычно не в наличии системы, а в качестве обработки лида внутри нее."",""strong_frame"":""CRM хранит информацию о продажах. AVERON AI влияет на то, состоится ли сама продажа.""}",Интеграционный аудит: как ИИ может забирать «спящие» сделки из текущих этапов CRM-системы.
13,2026-05-21 16:17:13.724111+00,НАМ НУЖНО ОБСУДИТЬ С КОМАНДОЙ,authority,"[""нет authority"",""боится принимать решение"",""хочет social validation"",""уходит от давления"",""реально нужен consensus""]","[""Перенос решения на коллегиальный совет, партнеров или совет директоров""]","[""«Когда сможете обсудить?» (Потеря контроля, классический weak sales паттерн)""]","Выявить реальный статус ЛПР, помочь структурировать повестку для команды и сохранить за собой инициативу","{""pattern_1"":""Конечно. Такие решения обычно и принимаются командно."",""pattern_2"":""Что для команды будет главным фактором при оценке? (qualification)"",""pattern_3"":""Есть ли сейчас внутри команды больше фокус на: росте конверсии, автоматизации, масштабировании, или снижении нагрузки?"",""pattern_4"":""Чтобы обсуждение было предметным, могу помочь структурировать: как это внедряется, где обычно появляется ROI, и какие процессы меняются. (control retention)""}",Провокация на следующий шаг: «После обсуждения у команды обычно больше вопросов возникает по интеграции или по самому AI-подходу?»
14,2026-05-21 16:17:13.724111+00,МЫ НЕ ХОТИМ ТЕРЯТЬ ЧЕЛОВЕЧНОСТЬ,страх изменений,"[""Истинный страх: AI убьет relationship layer в premium, luxury, медицине, консалтинге, high-ticket нишах""]","[""Беспокойство о потере душевности, эмоциональной связи с клиентом""]","[""«AI уже лучше людей» (Абсолютная катастрофа)""]","Доказать валидность вопроса, показать, что ИИ убирает механические ошибки, сохраняя фокус на клиенте","{""pattern_1"":""Это очень правильный вопрос. (Сразу validation)"",""pattern_2"":""Плохой AI действительно делает коммуникацию искусственной."",""pattern_3"":""Но сильная AI-система наоборот убирает механическую часть общения и позволяет удерживать стабильное качество коммуникации."",""pattern_4"":""AVERON AI не заменяет relationship-building. Он делает так, чтобы клиент не терялся из-за хаоса, задержек и человеческого фактора."",""luxury_frame"":""В premium-сегменте ценится не просто человеческое общение. Ценится ощущение внимания, скорости и качества взаимодействия.""}",Демонстрация сохранения уникального Tone of Voice бренда при массовой обработке.
15,2026-05-21 16:17:13.724111+00,AI ВСЕ РАВНО НЕ СМОЖЕТ ПРОДАВАТЬ КАК ЧЕЛОВЕК,страх изменений,"[""защита привычной модели"",""эмоциональное сопротивление"",""belief conflict"",""страх изменений""]","[""Скептические утверждения о превосходстве живого продавца над алгоритмами""]","[""Пытаться доказать «Сможет!» (Это мгновенно вызывает fight mode)""]","Уйти от конкуренции человека и машины, переформатировать в концепцию синергии: «AI + Человек»","{""pattern_1"":""Во многих сложных продажах — да, человек остается критически важен. (Очень сильное согласие)"",""pattern_2"":""Вопрос обычно не в замене лучших sales-людей. А в том, чтобы вся система обработки клиентов работала стабильно."",""pattern_3"":""Большинство потерь происходят не из-за отсутствия звезд-продажников. А из-за: скорости ответа, отсутствия follow-up, потери лидов, нестабильной коммуникации."",""pattern_4"":""Сильный AI не заменяет closers. Он убирает слабые места между первым контактом и продажей."",""elite_frame"":""Лучшие компании обычно не выбирают между людьми и AI. Они строят систему, где AI усиливает сильных людей.""}","Анализ упущенной выгоды на этапе квалификации лидов, где менеджеры физически не успевают дожимать базу."
16,2026-05-21 16:17:13.724111+00,У НАС НЕТ ТАКОГО ОБЪЕМА ЛИДОВ,Цена / ценность,"[""не видит масштаб проблемы"",""считает AI только для крупных компаний"",""не понимает economics"",""хочет отложить решение"",""не верит в ROI""]","[""Заявления о малом входящем потоке заявок""]","[""«Но AI нужен всем!» (Слишком дешево и generic)""]",Сместить фокус с количества заявок на удельную стоимость и критическую важность потери каждого клиента в узкой воронке,"{""pattern_1"":""Иногда даже несколько потерянных клиентов в месяц уже стоят дороже, чем отсутствие системы."",""pattern_2"":""Вопрос обычно не в количестве лидов. А в том, насколько качественно обрабатывается каждый из них."",""pattern_3"":""Слабая обработка особенно дорогая именно при небольшом потоке, потому что ценность каждого клиента выше."",""roi_frame"":""AVERON AI особенно хорошо показывает себя там, где: важна скорость ответа, нужен стабильный follow-up, и большая часть продаж происходит именно в коммуникации."",""comparison"":""Когда лидов немного, компании обычно особенно зависят от качества конкретного менеджера. AVERON AI снижает эту зависимость."",""cost_frame"":""Самая дорогая часть — не зарплата менеджера. Самая дорогая часть — нестабильность качества обработки клиентов."",""cost_pattern_1"":""Если основная часть коммуникации у вас идет через переписку, то AI-система часто оказывается дешевле даже одного сильного менеджера."",""cost_pattern_2"":""Хороший sales-менеджер — это: зарплата, адаптация, контроль, текучка, человеческий фактор. AVERON AI работает как стабильная инфраструктура."",""cost_pattern_3"":""Даже один сильный менеджер обычно обходится компании сильно дороже, чем кажется на этапе расчета оклада."",""elite_comparison"":""Если у компании небольшой поток лидов, нанимать отдельного сильного sales-менеджера ради переписок часто экономически менее эффективно, чем выстроить AI-system.""}","Дожимающий вопрос: «Если представить, что конверсия вырастет даже на 10–15%, это уже будет ощутимо для бизнеса? Сейчас первичная обработка у вас в основном строится через переписки или через звонки?»"
