id,created_at,objection_title,category,real_reasons,detection_signals,taboo_actions,processing_goal,response_patterns,follow_up_logic
33,2026-05-21 16:39:13.014882+00,НАМ НУЖНО ПОСМОТРЕТЬ КАК ЭТО РАБОТАЕТ У ДРУГИХ,доверие,"[""lack of certainty"",""wants social proof"",""fear of being early"",""fear of failure""]","[""НАМ НУЖНО ПОСМОТРЕТЬ КАК ЭТО РАБОТАЕТ У ДРУГИХ"",""Как работает у других"",""Покажите кейсы"",""Кто уже внедрял"",""Есть примеры из нашей ниши"",""Посмотреть результаты других""]","[""Заваливать клиента десятками кейсов""]",Перевести фокус: с “других компаний” → на механику результата.,"{""pattern_1"":""Кейсы важны. Но еще важнее понимать, за счет чего система дает результат."",""pattern_2"":""Обычно рост появляется не из-за „магии AI“. А из-за: скорости ответа, стабильного follow-up, качества коммуникации, и отсутствия потерь."",""pattern_3"":""Сильные компании обычно оценивают не только кейсы. Они оценивают: логику системы, масштабируемость, и predictability результата."",""very_strong_frame"":""Кейсы показывают прошлое. Инфраструктура показывает будущую устойчивость."",""comparison_managers"":""Даже при найме sales-people компании не могут гарантировать результат только по кейсам менеджера.""}","Для вас важнее: похожая ниша, похожий цикл сделки, или похожая модель продаж?"
34,2026-05-21 16:39:13.014882+00,МЫ НЕ УВЕРЕНЫ ЧТО AI СМОЖЕТ ЗАКРЫВАТЬ,отсутствие понимания,"[""disbelief"",""emotional resistance"",""attachment to human closers"",""fear of low-quality sales""]","[""МЫ НЕ УВЕРЕНЫ ЧТО AI СМОЖЕТ ЗАКРЫВАТЬ"",""Не сможет закрывать"",""ИИ не закроет сделку"",""Бот не доведет до оплаты"",""Закрывать должен человек"",""Слабый closing""]","[""“AI закрывает лучше людей” (Вызывает fight mode)""]",Не продавать: AI > человек. Продавать: AI усиливает conversion infrastructure.,"{""pattern_1"":""В сложных high-ticket продажах человек действительно часто остается ключевым."",""pattern_2"":""Но большинство потерь происходит не на финальном закрытии. А раньше: медленные ответы, отсутствие follow-up, потеря интереса, нестабильная коммуникация."",""pattern_3"":""AVERON AI усиливает путь клиента до момента закрытия."",""very_strong_frame"":""Даже лучший closer не спасет систему, если до него клиент доходит уже „холодным“."",""comparison_managers"":""Большинство менеджеров теряют сделки не из-за плохого closing skill. А из-за нестабильной обработки клиента между касаниями.""}",
35,2026-05-21 16:39:13.014882+00,МЫ НЕ ХОТИМ БЫТЬ ПЕРВЫМИ,страх изменений,"[""fear of innovation risk"",""fear of failure"",""herd behavior"",""хочет social validation""]","[""МЫ НЕ ХОТИМ БЫТЬ ПЕРВЫМИ"",""Не хотим быть первыми"",""Технология слишком новая"",""Подождем пока рынок обкатает"",""Слишком высокие риски инноваций""]","[""“Нужно быть первыми!” (Слишком агрессивно)""]",Снизить ощущение риска.,"{""pattern_1"":""Это нормальная позиция для бизнеса, который думает стратегически."",""pattern_2"":""Сильные компании редко прыгают в технологии без понимания инфраструктуры."",""pattern_3"":""Но рынок AI-коммуникаций уже переходит из стадии „эксперимента“ в стадию operational standard."",""very_strong_frame"":""Самый высокий риск обычно появляется не у тех, кто внедряет технологию слишком рано. А у тех, кто слишком долго ждет, пока рынок перестроится."",""comparison_managers"":""Когда-то компании так же боялись: CRM, performance-маркетинга, автоматизации, и аналитики. Сейчас это просто часть инфраструктуры бизнеса.""}",
36,2026-05-21 16:39:13.014882+00,"МЫ БОИМСЯ ЧТО КЛИЕНТЫ ПОЙМУТ, ЧТО ЭТО AI",доверие,"[""fear of reputation damage"",""fear of losing trust"",""premium brand anxiety"",""fear of \\\""fake communication\\\""""]","[""МЫ БОИМСЯ ЧТО КЛИЕНТЫ ПОЙМУТ, ЧТО ЭТО AI"",""Клиенты поймут что это AI"",""Поймут что робот"",""Раскусят автоматизацию"",""Fake communication"",""Репутационный риск""]","[""“Никто не поймет” (Сразу снижает доверие)""]",Не обещать “невидимый AI”. Показать: главное — качество коммуникации.,"{""pattern_1"":""Клиенты обычно негативно реагируют не на сам AI. А на плохую коммуникацию."",""pattern_2"":""Если AI: отвечает вовремя, понимает контекст, держит качество диалога, то большинство клиентов воспринимают это как просто хороший сервис."",""pattern_3"":""Сегодня люди уже ежедневно взаимодействуют с AI-системами, часто даже не задумываясь об этом."",""very_strong_frame"":""Для клиента обычно важнее: скорость, внимание, и качество взаимодействия, чем сам факт использования AI."",""comparison_managers"":""Многие клиенты уже сейчас получают шаблонную коммуникацию от живых менеджеров.""}","Для вас здесь больше риск: репутации, потери доверия, или ощущения „неживого“ сервиса?"
37,2026-05-21 16:39:13.014882+00,НАМ ВАЖНО ЧТОБЫ МЕНЕДЖЕРЫ БЫЛИ ВОВЛЕЧЕНЫ,страх изменений,"[""founder attachment"",""belief in human energy"",""fear of disengagement"",""emotional sales culture""]","[""НАМ ВАЖНО ЧТОБЫ МЕНЕДЖЕРЫ БЫЛИ ВОВЛЕЧЕНЫ"",""Менеджеры вовлечены"",""Человеческая энергия"",""Менеджеры расслабятся"",""Потеря мотивации у команды"",""Sales culture""]","[""“AI заменит вовлеченность” (Катастрофический фрейм)""]",Показать: AI убирает рутину → люди сильнее вовлекаются в важные этапы.,"{""pattern_1"":""Сильные менеджеры ценны именно там, где нужна энергия, эмпатия и принятие решений."",""pattern_2"":""AVERON AI обычно убирает: рутину, повторяющиеся ответы, хаотичный follow-up, и механическую нагрузку."",""pattern_3"":""Это позволяет sales-команде концентрироваться на действительно важных этапах сделки."",""very_strong_frame"":""Когда сильный менеджер тратит половину времени на механические переписки — компания теряет его реальную ценность."",""comparison_managers"":""Лучшие closers обычно не сидят 24/7 на первичной обработке сообщений.""}",
38,2026-05-21 16:39:13.014882+00,МЫ НЕ ХОТИМ ТЕРЯТЬ УНИКАЛЬНОСТЬ БРЕНДА,доверие,"[""fear of generic communication"",""premium positioning"",""founder identity"",""emotional brand attachment""]","[""МЫ НЕ ХОТИМ ТЕРЯТЬ УНИКАЛЬНОСТЬ БРЕНДА"",""Уникальность бренда"",""Tone of voice"",""Шаблонное общение убьет бренд"",""Стиль бренда"",""Потеряем лицо""]","[""“AI можно настроить” (Слишком weak)""]",Показать: tone of voice = часть infrastructure.,"{""pattern_1"":""Сильный бренд действительно строится через уникальную коммуникацию."",""pattern_2"":""Поэтому AVERON AI обучается: tone of voice, стилю бренда, подаче, логике общения, и психологии аудитории."",""pattern_3"":""Плохой AI делает бренды одинаковыми. Хороший AI наоборот помогает удерживать consistency бренда на масштабе."",""very_strong_frame"":""Большинство брендов теряют уникальность не из-за AI. А из-за хаотичной коммуникации разных менеджеров."",""comparison_managers"":""Даже сильные sales-команды редко общаются с одинаковым quality standard.""}","Для вас сейчас важнее: tone of voice, premium perception, или ощущение персонального подхода?"
39,2026-05-21 16:39:13.014882+00,AI НЕ СМОЖЕТ ГИБКО РЕАГИРОВАТЬ,отсутствие понимания,"[""fear of rigid scripts"",""old chatbot trauma"",""belief: \\\""AI = шаблоны\\\""""]","[""AI НЕ СМОЖЕТ ГИБКО РЕАГИРОВАТЬ"",""Гибко реагировать"",""Шаг вправо шаг влево и бот сломается"",""Негибкие сценарии"",""В переписке нужна гибкость""]","[""“AI умеет все” (Низкий trust signal)""]",Отделить: old bots ≠ adaptive AI systems.,"{""pattern_1"":""Большинство старых систем действительно работали как rigid scripts."",""pattern_2"":""AVERON AI строится вокруг: контекста, памяти диалога, intent detection, и адаптивной логики коммуникации."",""pattern_3"":""Сильная AI-system — это не набор шаблонов. Это управляемая логика ведения клиента."",""very_strong_frame"":""Хороший AI не заменяет гибкость. Он масштабирует качественную коммуникационную логику."",""comparison_managers"":""Многие менеджеры на практике тоже работают по ограниченному набору сценариев.""}",
40,2026-05-21 16:39:13.014882+00,СЕЙЧАС РЫНОК НЕПОНЯТНЫЙ,срочность,"[""uncertainty"",""fear of investments"",""fear of scaling"",""risk aversion""]","[""СЕЙЧАС РЫНОК НЕПОНЯТНЫЙ"",""Рынок непонятный"",""Сейчас кризис"",""Нестабильная ситуация"",""Отложим до лучших времен"",""Кассовый стресс""]","[""“Наоборот, надо срочно внедрять!” (Слишком pushy)""]",Показать: нестабильный рынок = ценность эффективности растет.,"{""pattern_1"":""В нестабильные периоды компании обычно особенно внимательно смотрят на эффективность обработки клиентов."",""pattern_2"":""Когда рынок становится сложнее, цена: потереного лида, медленного ответа, и нестабильной коммуникации сильно возрастает."",""pattern_3"":""Сильные компании в такие периоды обычно усиливают инфраструктуру, а не ослабляют ее."",""very_strong_frame"":""В сложные периоды выигрывает не всегда тот, у кого больше рекламы. А тот, кто лучше конвертирует уже существующий поток клиентов."",""comparison_managers"":""Во время нестабильности компании особенно остро сталкиваются с: текучкой, падением качества продаж, и зависимостью от конкретных сотрудников.""}",
41,2026-05-21 16:39:13.014882+00,"НАМ ВАЖНО, ЧТОБЫ КЛИЕНТ ЧУВСТВОВАЛ ЗАБОТУ",отсутствие понимания,"[""страх холодной коммуникации"",""premium mindset"",""эмоциональный бренд"",""founder attachment к сервису""]","[""НАМ ВАЖНО, ЧТОБЫ КЛИЕНТ ЧУВСТВОВАЛ ЗАБОТУ"",""Клиент чувствовал заботу"",""Ощущение заботы"",""Холодная коммуникация"",""Нужен теплый контакт"",""Забота о клиенте""]","[""“AI тоже умеет заботу” (Звучит неестественно)""]","Не продавать “эмоции AI”. Продавать: стабильность внимания, скорость, качество взаимодействия.","{""pattern_1"":""Клиент обычно чувствует заботу не из-за самого факта общения с человеком."",""pattern_2"":""Ощущение заботы чаще создают: быстрый ответ, внимание к деталям, отсутствие игнора, понимание контекста, и качественный follow-up."",""pattern_3"":""AVERON AI помогает сделать это стабильным, а не зависимым от настроения или загрузки менеджера."",""very_strong_frame"":""Для клиента отсутствие ответа часто ощущается гораздо хуже, чем сам факт использования AI."",""comparison_managers"":""Даже сильные менеджеры физически не могут одинаково внимательно вести десятки диалогов одновременно.""}","Для вас „забота о клиенте“ сейчас больше про: скорость реакции, персонализацию, или эмоциональную вовлеченность?"
42,2026-05-21 16:39:13.014882+00,МЫ НЕ ХОТИМ ВЫГЛЯДЕТЬ ДЕШЕВО ИЗ-ЗА AI,перегрузка информацией,"[""страх удешевления бренда"",""fear of mass-market perception"",""плохой опыт с ботами"",""luxury positioning""]","[""МЫ НЕ ХОТИМ ВЫГЛЯДЕТЬ ДЕШЕВО ИЗ-ЗА AI"",""Выглядеть дешево из-за AI"",""Удешевление бренда"",""Mass-market perception"",""Premium positioning"",""Luxury сегмент""]","[""“Сейчас все используют AI” (Слабая логика)""]",Показать: дешево выглядит не AI. Дешево выглядит плохая коммуникация.,"{""pattern_1"":""Плохой AI действительно может удешевлять восприятие бренда."",""pattern_2"":""Но premium-компании ценятся не за отсутствие технологий. А за качество клиентского опыта."",""pattern_3"":""Если коммуникация: быстрая, качественная, внимательная, и последовательная, клиент воспринимает это как высокий уровень сервиса."",""very_strong_frame"":""Luxury сегодня — это не „ручной хаос“. Luxury — это ощущение внимания и качества на каждом касании."",""comparison_managers"":""Даже дорогие sales-команды могут создавать ощущение дешевого сервиса, если коммуникация нестабильна.""}",
43,2026-05-21 16:39:13.014882+00,НАМ ВАЖНО СОХРАНИТЬ КОНТРОЛЬ НАД ПРОДАЖАМИ,страх изменений,"[""fear of losing authority"",""founder-led sales"",""distrust"",""fear of autonomy AI""]","[""НАМ ВАЖНО СОХРАНИТЬ КОНТРОЛЬ НАД ПРОДАЖАМИ"",""Сохранить контроль над продажами"",""Потеря контроля"",""Контроль воронки"",""Автономия ИИ пугает"",""Черный ящик""]","[""“AI все сделает сам” (Сразу вызывает сопротивление)""]",AI = усиление управляемости.,"{""pattern_1"":""Сильные AI-системы строятся не вокруг потери контроля, а вокруг прозрачности процессов."",""pattern_2"":""AVERON AI помогает: видеть узкие места, контролировать качество коммуникации, и снижать хаос внутри продаж."",""pattern_3"":""Во многих компаниях контроль уже потерян, просто это скрыто внутри человеческого фактора."",""very_strong_frame"":""Когда продажи зависят от конкретных людей — это и есть максимальная потеря контроля."",""comparison_managers"":""Менеджеры: увольняются, забывают follow-up, меняют стиль общения, и по-разному ведут клиентов.""}","Для вас сейчас важнее: прозрачность, управляемость, или стабильность результата?"
44,2026-05-21 16:39:13.014882+00,"МЫ НЕ УВЕРЕНЫ, ЧТО ЭТО ПОДОЙДЕТ НАШЕЙ НИШЕ",отсутствие понимания,"[""считает бизнес уникальным"",""fear of mismatch"",""fear of generic AI"",""сложная ниша""]","[""МЫ НЕ УВЕРЕНЫ, ЧТО ЭТО ПОДОЙДЕТ НАШЕЙ НИШЕ"",""Подойдет нашей нише"",""У нас уникальная ниша"",""Специфика бизнеса"",""Сложный B2B продукт"",""У нас так не работают""]","[""“Это подходит всем” (Сразу теряется доверие)""]",Признать спецификаку ниши.,"{""pattern_1"":""У каждой ниши действительно своя логика принятия решений."",""pattern_2"":""Поэтому AVERON AI обучается: возражениям, психологии аудитории, циклу сделки, и особенностям коммуникации именно вашей ниши."",""pattern_3"":""Чем сложнее и дороже продажа — тем выше цена нестабильной коммуникации."",""very_strong_frame"":""AI плохо работает не там, где сложная ниша. AI плохо работает там, где система обучена поверхностно."",""comparison_managers"":""Даже новым менеджерам нужны месяцы, чтобы глубоко понять нишу.""}",
45,2026-05-21 16:39:13.014882+00,У НАС ВСЕ ДЕРЖИТСЯ НА ОСНОВАТЕЛЕ,отсутствие понимания,"[""founder ego"",""fear of scaling"",""fear of losing authenticity"",""эмоциональная привязка к ручным продажам""]","[""У НАС ВСЕ ДЕРЖИТСЯ НА ОСНОВАТЕЛЕ"",""Держится на основателе"",""Founder-led sales"",""Я сам все продаю"",""Личный контакт фаундера"",""Продажи на собственнике""]","[""“Нужно уходить от ручных продаж” (Сразу вызывает защиту)""]",AI помогает масштабировать сильные стороны founder-led sales.,"{""pattern_1"":""Во многих сильных компаниях продажи действительно долго держатся на основателе."",""pattern_2"":""Обычно проблема появляется в момент масштабирования, когда личное участие перестает физически покрывать весь поток."",""pattern_3"":""AVERON AI помогает: масштабировать подход, сохранять логику коммуникации, и удерживать качество продаж при росте."",""very_strong_frame"":""Сильный founder-driven sales — это огромное преимущество. Но без системы его очень сложно масштабировать."",""comparison_managers"":""Даже сильные менеджеры редко могут передать стиль и мышление основателя без потери качества.""}",
46,2026-05-21 16:39:13.014882+00,У НАС ДОЛГИЙ ЦИКЛ СДЕЛКИ,отсутствие понимания,"[""B2B"",""high-ticket"",""сложное принятие решений"",""много касаний"",""fear: „AI не удержит длинную коммуникацию“""]","[""У НАС ДОЛГИЙ ЦИКЛ СДЕЛКИ"",""Долгий цикл сделки"",""Много касаний"",""Продажи длятся месяцами"",""ИИ не удержит длинную воронку"",""Длинные продажи""]","[""“AI умеет продавать долго” (Слишком поверхностно)""]",Длинный цикл = еще большая ценность системной коммуникации.,"{""pattern_1"":""В длинных сделках как раз особенно важны: consistency, follow-up, и удержание внимания клиента."",""pattern_2"":""Большинство длинных сделок теряются не из-за одного плохого звонка. А из-за постепенной потери контакта и энергии коммуникации."",""pattern_3"":""AVERON AI помогает удерживать: темп диалога, качество касаний, и логику движения клиента."",""very_strong_frame"":""Чем длиннее цикл сделки — тем дороже становится нестабильность коммуникации."",""comparison_managers"":""Даже сильные менеджеры на длинной дистанции начинают терять: скорость, регулярность, и качество follow-up.""}","У вас чаще теряются клиенты: после первого интереса, в процессе обсуждения, или перед финальным решением?"
47,2026-05-21 16:39:13.014882+00,МЫ НЕ ХОТИМ СТАНОВИТЬСЯ СЛИШКОМ ЗАВИСИМЫМИ ОТ ТЕХНОЛОГИЙ,страх изменений,"[""fear of future"",""distrust технологий"",""желание сохранить привычную модель"",""fear of losing human control""]","[""МЫ НЕ ХОТИМ СТАНОВИТЬСЯ СЛИШКОМ ЗАВИСИМЫМИ ОТ ТЕХНОЛОГИЙ"",""Зависимыми от технологий"",""Технологическая зависимость"",""Зависимость от софта"",""Vendor lock-in"",""Слишком завязаны на ИИ""]","[""“Будущее за AI” (Давление и сопротивление)""]",AI — это инфраструктурный инструмент.,"{""pattern_1"":""Бизнес уже давно зависит от технологий: CRM, рекламы, аналитики, платежных систем."",""pattern_2"":""Вопрос обычно не в самой зависимости. А в том, насколько система: управляемая, прозрачная, и дает результат."",""pattern_3"":""AVERON AI не заменяет бизнес. Он усиливает инфраструктуру обработки клиентов."",""very_strong_frame"":""Компании чаще всего страдают не от зависимости от технологий. А от зависимости от хаотичных процессов и отдельных людей."",""comparison_managers"":""Когда продажи держатся на нескольких ключевых менеджерах — это тоже очень высокая зависимость.""}",
48,2026-05-21 16:39:13.014882+00,У НАС НЕТ ПРОБЛЕМ С ПРОДАЖАМИ,отсутствие понимания,"[""defensive position"",""founder pride"",""не видит hidden inefficiencies"",""fear of unnecessary changes""]","[""У НАС НЕТ ПРОБЛЕМ С ПРОДАЖАМИ"",""Нет проблем с продажами"",""У нас все отлично работает"",""Нам это не нужно"",""План продаж выполняется"",""Зачем улучшать""]","[""“Проблемы есть у всех” (Мгновенная защита)""]","Не искать “проблемы”. Говорить про: масштабируемость, стабильность, predictability.","{""pattern_1"":""Это как раз сильная позиция."",""pattern_2"":""AVERON AI часто внедряют не компании „в кризисе“, а компании, которые хотят: удерживать качество, масштабироваться, и снижать зависимость от человеческого фактора."",""pattern_3"":""Сильные системы обычно строят до того, как появляются проблемы."",""very_strong_frame"":""Когда бизнес уже работает хорошо — даже небольшие улучшения начинают сильно влиять на итоговую прибыль."",""comparison_managers"":""Даже сильные sales-команды со временем начинают сталкиваться с: перегрузкой, нестабильностью, и сложностью масштабирования.""}","Сейчас для вас важнее: рост, стабильность, или снижение зависимости от конкретных сотрудников?"
49,2026-05-21 16:39:13.014882+00,МЫ НЕ ХОТИМ ЧТОБЫ КЛИЕНТЫ ЧУВСТВОВАЛИ СКРИПТЫ,перегрузка информацией,"[""various trauma от шаблонных продаж"",""premium positioning"",""fear of robotic communication""]","[""МЫ НЕ ХОТИМ ЧТОБЫ КЛИЕНТЫ ЧУВСТВОВАЛИ СКРИПТЫ"",""Клиенты чувствовали скрипты"",""Шаблонные продажи"",""Роботизированный text"",""Паттерны продаж"",""Опять скрипты""]","[""“AI не использует скрипты” (Нереалистично)""]",Отделить: скрипты ≠ логика продаж.,"{""pattern_1"":""Проблема обычно не в наличии структуры диалога."",""pattern_2"":""Проблема появляется, когда коммуникация: негибкая, не учитывает контекст, и не адаптируется под клиента."",""pattern_3"":""AVERON AI строится вокруг: intent detection, контекста, памяти диалога, и адаптивной логики."",""very_strong_frame"":""Клиентычувствуют не „скрипты“. Они чувствуют отсутствие внимания и плохую коммуникацию."",""comparison_managers"":""Большинство менеджеров тоже используют ограниченный набор паттернов, просто делают это менее осознанно.""}",
50,2026-05-21 16:39:13.014882+00,"МЫ НЕ ПОНИМАЕМ, КАК ЭТО ВСТРОИТСЯ В НАШ БИЗНЕС",отсутствие понимания,"[""fear of complexity"",""fear of disruption"",""lack of clarity"",""operational anxiety""]","[""МЫ НЕ ПОНИМАЕМ, КАК ЭТО ВСТРОИТСЯ В НАШ БИЗНЕС"",""Как это встроится в наш бизнес"",""Сложное внедрение"",""Как интегрировать в CRM"",""Поломает текущие процессы"",""Operational anxiety""]","[""“Все будет просто” (Недоверие)""]",Показать: внедрение = поэтапная интеграция.,"{""pattern_1"":""Это нормальный вопрос для любой серьезной инфраструктурной системы."",""pattern_2"":""AVERON AI обычно внедряется постепенно: анализ текущей коммуникации, обучение модели, тестирование, интеграция в процессы, масштабирование."",""pattern_3"":""Главная задача — не ломать текущую систему, а усиливать слабые места внутри нее."",""very_strong_frame"":""Сильное внедрение ощущается не как „новая нагрузка“. А как снижение операционного хаоса."",""comparison_managers"":""Найм, обучение и контроль новых менеджеров часто требует гораздо больше ресурсов и хаоса, чем постепенная интеграция AI-system.""}","Предлагаю сделать так: мы можем взять один ваш конкретный сложный диалог из CRM и на его примере показать, как бы эту ситуацию отработал AVERON AI."